Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,3,Que 914,,Unfurnished,3,₹90 Lac ,₹7335 per sqft 
,2,Poorva Residency,850 sqft,Unfurnished,2,₹90 Lac ,₹7500 per sqft 
,3,,1200 sqft,Unfurnished,3,₹2.40 Cr ,₹15000 per sqft 
,3,Rohan 10 Kasturkunj,1600 sqft,Semi-Furnished,3,₹2.80 Cr ,₹15135 per sqft 
,2,The Rising,806 sqft,Unfurnished,2,₹62 Lac ,₹5693 per sqft 
,2,Elina Lite,680 sqft,Semi-Furnished,2,₹56 Lac ,₹6222 per sqft 
,3,VTP Dolce Vita,1080 sqft,Unfurnished,3,₹1.15 Cr ,
,2,Kumar Priyadarshan,800 sqft,Furnished,2,₹75 Lac ,₹6818 per sqft 
,2,,755 sqft,Unfurnished,2,₹62 Lac ,₹6078 per sqft 
,4,Kumar Parth Tower,1550 sqft,Unfurnished,4,₹2.05 Cr ,₹9144 per sqft 
,1,,475 sqft,Unfurnished,2,₹38.5 Lac ,₹6230 per sqft 
,3,Oxy Beaumonde,1170 sqft,Semi-Furnished,3,₹1.55 Cr ,₹9949 per sqft 
,2,204 Blue Paradise,890 sqft,Unfurnished,2,₹1.15 Cr ,₹9575 per sqft 
,2,,836 sqft,Unfurnished,2,₹67 Lac ,₹7053 per sqft 
,3,Horizon Highgroves,1104 sqft,Unfurnished,3,₹1.24 Cr ,₹7908 per sqft 
,3,24K Altura,1141 sqft,Semi-Furnished,3,₹1.65 Cr ,₹10312 per sqft 
,2,Pristine Allure,749 sqft,Unfurnished,2,₹95 Lac ,₹9425 per sqft 
,3,Aneesha,,Unfurnished,3,₹2.58 Cr ,₹12130 per sqft 
,2,Rohan Ekam,869 sqft,Unfurnished,2,₹1.20 Cr ,
,2,Ruby Park,950 sqft,Unfurnished,2,₹90 Lac ,₹7826 per sqft 
,3,Kumar Parth Tower,788 sqft,Unfurnished,3,₹91 Lac ,₹9891 per sqft 
,2,Yashada Supreme,659 sqm,Unfurnished,2,₹36 Lac ,₹4054 per sqft 
,3,Codename Fireworks,1107 sqft,Unfurnished,3,₹1.38 Cr ,₹9237 per sqft 
,1,,430 sqft,Unfurnished,2,₹50 Lac ,₹8197 per sqft 
,3,The Balmoral,1256 sqft,Semi-Furnished,3,₹1.94 Cr ,₹11412 per sqft 
,4,Lodha Estilo,1615 sqft,Unfurnished,4,₹2.50 Cr ,₹11463 per sqft 
,2,Mantra 29 Gold Coast Phase 6,731 sqft,Unfurnished,2,₹64.1 Lac ,₹6266 per sqft 
,3,Pharande Puneville Phase III Cluster A,1172 sqft,Semi-Furnished,3,₹1.18 Cr ,₹7459 per sqft 
,3,Puraniks Aldea,1200 sqft,Unfurnished,3,₹1.15 Cr ,₹7667 per sqft 
,2,Bella Casa Phase III,942 sqft,Unfurnished,2,₹86 Lac ,₹6766 per sqft 
,3,,1000 sqft,Semi-Furnished,3,₹1.35 Cr ,₹9643 per sqft 
,3,Pyramid Atlante,1195 sqft,Unfurnished,3,₹1.09 Cr ,₹7238 per sqft 
,4,,2010 sqft,Unfurnished,4,₹1.98 Cr ,₹7279 per sqft 
,2,Manav La Centra,708 sqft,Unfurnished,2,₹60 Lac ,₹6186 per sqft 
,2,Kshitij Residency,720 sqft,Unfurnished,2,₹1.23 Cr ,₹12654 per sqft 
,3,Basil Maximus,1054 sqft,Unfurnished,3,₹1 Cr ,₹6579 per sqft 
,4,Castel Royale Grande,3278 sqft,Unfurnished,6,₹9.80 Cr ,₹22147 per sqft 
,2,Life Republic Sector R22 Avenue Atmos,780 sqft,Unfurnished,2,₹61 Lac ,₹5295 per sqft 
,4,Kumar Parth Tower,1650 sqft,Unfurnished,4,₹1.95 Cr ,₹8298 per sqft 
,2,,800 sqft,Unfurnished,2,₹85 Lac ,
