Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,2,Siddhivinayak Keshar,,Unfurnished,2,₹76.5 Lac ,₹8854 per sqft 
,2,Optima Heights,,Unfurnished,2,₹42 Lac ,₹4200 per sqft 
,2,,,Unfurnished,2,₹59.2 Lac ,₹6633 per sqft 
,2,Sanvi Majesty,,Unfurnished,2,₹36 Lac ,₹3673 per sqft 
,2,,,,,₹87.4 Lac ,₹9786 per sqft 
,1,Sai Galaxy,,Unfurnished,1,₹28 Lac ,₹5600 per sqft 
,2,Navyangan,750 sqft,Unfurnished,2,₹39.5 Lac ,₹4268 per sqft 
,2,Godrej Infinity,,Semi-Furnished,2,₹1.25 Cr ,₹9137 per sqft 
,2,Balaji Nisarg Homes Phase 2,,Unfurnished,2,₹15.5 Lac ,₹2665 per sqft 
,2,Royal Glory,,Semi-Furnished,2,₹95 Lac ,₹9126 per sqft 
,1,The Orchard,451 sqft,Semi-Furnished,1,₹30 Lac ,₹4478 per sqft 
,1,Abhimaan Homes,,Unfurnished,1,₹20.7 Lac ,₹4056 per sqft 
,2,Clover Heights,,Unfurnished,2,₹1.10 Cr ,₹8800 per sqft 
,2,,820 sqft,Unfurnished,2,₹38 Lac ,₹3800 per sqft 
,2,Classicism,890 sqft,Semi-Furnished,2,₹85.5 Lac ,₹8261 per sqft 
,1,Unnati Avenue,,Unfurnished,1,₹40 Lac ,₹5284 per sqft 
,2,Kundan Heritage,,Unfurnished,2,₹1 Cr ,₹9290 per sqft 
,2,Kingston Elysia,,Semi-Furnished,2,₹42 Lac ,₹4667 per sqft 
,2,,,Unfurnished,1,₹36 Lac ,₹4551 per sqft 
,5,,3200 sqft,Furnished,5,₹1.47 Cr ,₹16000 per sqft 
,2,Oxy Galaxy,,Semi-Furnished,2,₹42 Lac ,₹4667 per sqft 
,1,MHADA,,Unfurnished,1,₹13.7 Lac ,₹2727 per sqft 
,,Sanjuda Complex,,Unfurnished,1,₹18 Lac ,₹4523 per sqft 
,2,Gini Bellina,700 sqft,Semi-Furnished,2,₹60 Lac ,₹6593 per sqft 
,3,Godrej Skygreens,854 sqft,Unfurnished,3,₹99 Lac ,₹11000 per sqft 
,2,Happy Complex,,Unfurnished,1,₹22.5 Lac ,₹3294 per sqft 
,1,Trimurti Heights,,Semi-Furnished,1,₹13 Lac ,₹2889 per sqft 
,2,,792 sqft,Unfurnished,2,₹69 Lac ,
,1,Anjana Apartment,,Semi-Furnished,1,₹15.6 Lac ,₹4250 per sqft 
,2,,,Unfurnished,2,₹37.6 Lac ,₹4790 per sqft 
,2,Aapla Ghar Wagholi Annexe,612 sqft,Unfurnished,2,₹25 Lac ,₹3846 per sqft 
,1,Aqua Blue,530 sqft,Unfurnished,1,₹37.7 Lac ,₹5775 per sqft 
,1,,,Semi-Furnished,1,₹15 Lac ,₹2727 per sqft 
,1,Nirman Brookefield Willows,430 sqft,Unfurnished,1,₹32 Lac ,₹5965 per sqft 
,2,,643 sqft,Unfurnished,2,₹52 Lac ,₹5977 per sqft 
,1,,,Unfurnished,1,₹24 Lac ,₹4096 per sqft 
,2,Windows Housing Society,780 sqft,Semi-Furnished,2,₹63 Lac ,
,1,Eco City,,,,₹18 Lac ,₹4598 per sqft 
,2,Godrej Boulevard,644 sqft,Unfurnished,2,₹85 Lac ,
,,,261 sqft,Furnished,1,₹35 Lac ,₹9563 per sqft 
,1,,,Furnished,1,₹31.9 Lac ,₹6140 per sqft 
,1,,600 sqft,Semi-Furnished,2,₹35.5 Lac ,₹5462 per sqft 
,3,Park Infinia,,Semi-Furnished,3,₹1.18 Cr ,₹7886 per sqft 
,2,Lantana Court,,Unfurnished,2,₹70 Lac ,₹5833 per sqft 
,2,Aapla Ghar Sanaswadi,,Unfurnished,2,₹25.4 Lac ,₹3557 per sqft 
,2,Godrej Hillside,,Unfurnished,2,₹93 Lac ,₹13333 per sqft 
,1,Grande View 7,416 sqft,Unfurnished,1,₹39 Lac ,₹6917 per sqft 
,2,,900 sqft,Unfurnished,2,₹1.15 Cr ,₹9664 per sqft 
,3,Goel Ganga Legend A4 And B1,1281 sqft,Unfurnished,3,₹91 Lac ,
,2,9 Ramnagar,,Furnished,2,₹1.70 Cr ,₹9942 per sqft 
,2,Splendor Residency,870 sqft,Semi-Furnished,2,₹64.4 Lac ,₹7000 per sqft 
,2,Sonigara Kesar,897 sqft,Unfurnished,2,₹78.3 Lac ,₹7250 per sqft 
,2,Sai Dwarika,818 sqft,Unfurnished,2,₹51.7 Lac ,₹7857 per sqft 
,3,Yashodhan Dwarikadham,1144 sqft,Unfurnished,3,₹1.10 Cr ,₹8346 per sqft 
,2,Cindrella Apartments,,Semi-Furnished,2,₹1.49 Cr ,₹15238 per sqft 
,1,,,Semi-Furnished,1,₹29.5 Lac ,₹4690 per sqft 
,2,Sai Dham,,Unfurnished,2,₹42 Lac ,₹6774 per sqft 
,1,,,Semi-Furnished,1,₹28.8 Lac ,₹8000 per sqft 
,2,,,Semi-Furnished,2,₹40 Lac ,₹4444 per sqft 
,2,,,Unfurnished,2,₹28 Lac ,₹3500 per sqft 
,1,Kunal Estate,540 sqft,Semi-Furnished,1,₹45 Lac ,₹8333 per sqft 
,1,,,Unfurnished,1,₹6.4 Lac ,₹3500 per sqft 
,2,,,,2,₹1.25 Cr ,₹11682 per sqft 
,2,DSK Chandradeep,1000 sqft,Furnished,2,₹1.70 Cr ,₹11333 per sqft 
,2,,,Unfurnished,2,₹35.8 Lac ,₹5169 per sqft 
,1,Shree Siddhi Homes,,Unfurnished,1,₹25.5 Lac ,₹4201 per sqft 
,1,,,Semi-Furnished,1,₹20.7 Lac ,₹3853 per sqft 
,2,,,Unfurnished,2,₹40 Lac ,₹5181 per sqft 
,1,Verdura,,Furnished,1,₹30 Lac ,₹4673 per sqft 
,2,Siddhashila Eela,,Unfurnished,2,₹72 Lac ,₹8000 per sqft 
,3,Dynamic Grandeur,1153 sqft,Unfurnished,3,₹78.2 Lac ,₹5312 per sqft 
,1,Godrej Horizon,540 sqft,Unfurnished,1,₹35 Lac ,₹5469 per sqft 
,1,Jai Bhavani Apartment,605 sqft,Unfurnished,1,₹27.3 Lac ,₹4444 per sqft 
,4,Marvel Zephyr,4201 sqft,Unfurnished,4,₹3.99 Cr ,₹9162 per sqft 
,2,Madhuban Apartment,750 sqft,Semi-Furnished,2,₹99 Lac ,₹10000 per sqft 
,2,,750 sqft,Furnished,2,₹75 Lac ,₹8427 per sqft 
,1,Alfa Landmark,450 sqft,Unfurnished,1,₹31 Lac ,₹5636 per sqft 
,2,,700 sqft,Unfurnished,2,₹62.1 Lac ,₹7135 per sqft 
,4,Riviera Valentina,2550 sqft,Furnished,4,₹3.29 Cr ,₹10606 per sqft 
,2,Vanalika,,Unfurnished,2,₹33 Lac ,₹3929 per sqft 
,3,Green Republic,1250 sqft,Unfurnished,2,₹1 Cr ,₹7143 per sqft 
,2,Astoria Royals,,Semi-Furnished,2,₹65.1 Lac ,₹7322 per sqft 
,4,Amar Renaissance,3063 sqft,Semi-Furnished,5,₹6.50 Cr ,₹16976 per sqft 
,1,Mantra Magic,,Unfurnished,1,₹21.6 Lac ,₹4660 per sqft 
,2,Address One,,Unfurnished,2,₹42.8 Lac ,₹8185 per sqft 
,3,ARV Royale,1010 sqft,Unfurnished,3,₹70 Lac ,₹5738 per sqft 
,2,Magarpatta nova,595 sqft,Semi-Furnished,2,₹76.5 Lac ,
,1,Anjana Apartment,477 sqft,Unfurnished,1,₹18.4 Lac ,₹3883 per sqft 
,2,Bramha SkyCity,,Semi-Furnished,2,₹58 Lac ,₹6035 per sqft 
,2,Windsor County,637 sqft,Unfurnished,2,₹59.9 Lac ,₹6962 per sqft 
,1,Vishwakarma,480 sqft,Semi-Furnished,1,₹45 Lac ,₹7759 per sqft 
,3,Suyojana Society,1600 sqft,Furnished,3,₹2.30 Cr ,₹13889 per sqft 
,3,Nanded Asawari,1080 sqft,Unfurnished,3,₹1.07 Cr ,₹7879 per sqft 
,3,Kakkad La Vida,1111 sqft,Unfurnished,3,₹1.55 Cr ,₹13951 per sqft 
,1,VTP Blue Waters,470 sqft,Unfurnished,2,₹46.5 Lac ,₹10081 per sqft 
,1,Rohan Ananta,,Semi-Furnished,1,₹47 Lac ,₹7833 per sqft 
,1,Legacy Sannidhi,,Unfurnished,1,₹36 Lac ,₹4580 per sqft 
,3,Soleno Mhalunge,1238 sqft,Unfurnished,3,₹92 Lac ,₹5506 per sqft 
,1,Dhayreshwar Paradise,450 sqft,Furnished,1,₹19.5 Lac ,₹3925 per sqft 
,4,Mantra Monarch,1500 sqft,Unfurnished,3,₹2.07 Cr ,₹11250 per sqft 
,3,Hill View Residency,1650 sqft,Unfurnished,3,₹1.14 Cr ,₹6703 per sqft 
,2,Shivnarayan Plaza,760 sqft,Unfurnished,2,₹72 Lac ,₹7500 per sqft 
,1,Silver Nest,460 sqft,Unfurnished,1,₹48 Lac ,₹7385 per sqft 
,2,Sara Orchids,891 sqft,Unfurnished,2,₹25.5 Lac ,₹3143 per sqft 
,2,,540 sqft,Unfurnished,1,₹37.8 Lac ,₹5929 per sqft 
,3,,1270 sqft,Unfurnished,3,₹1.69 Cr ,₹9854 per sqft 
,2,Sparkle Avenue,868 sqft,Furnished,2,₹50.6 Lac ,₹6336 per sqft 
,2,The Address,566 sqft,Furnished,2,₹52.2 Lac ,₹8696 per sqft 
,2,Royal Sublime,738 sqft,Unfurnished,2,₹69.7 Lac ,₹7382 per sqft 
,2,Godrej Green Vistas,625 sqft,Unfurnished,2,₹69 Lac ,
,2,Mi Casa,792 sqft,Semi-Furnished,2,₹91 Lac ,₹8887 per sqft 
,3,Archana Hill Town,1314 sqft,Semi-Furnished,3,₹92 Lac ,₹6332 per sqft 
,1,Shivai Garden,,Semi-Furnished,1,₹25 Lac ,₹4587 per sqft 
,2,Yogesh Gandharv Excellencee,765 sqft,Semi-Furnished,2,₹56.3 Lac ,₹6020 per sqft 
,1,Playtor Paud,330 sqft,Unfurnished,1,₹18.5 Lac ,₹4353 per sqft 
,3,,1210 sqft,Furnished,3,₹1.60 Cr ,₹11938 per sqft 
,1,Oasis Custom Home,550 sqft,Semi-Furnished,1,₹29.4 Lac ,₹5079 per sqft 
,2,Briz,,Unfurnished,2,₹30 Lac ,₹3797 per sqft 
,2,Pride World City,720 sqft,Unfurnished,2,₹59.2 Lac ,₹6771 per sqft 
,1,Subhagya Saptarshi Residency Phase I,,Semi-Furnished,1,₹39.1 Lac ,₹7611 per sqft 
,1,Laxmi Heights,444 sqft,Unfurnished,1,₹16 Lac ,
,2,Anandgram Talegaon Dhamdere,459 sqft,Unfurnished,1,₹14.1 Lac ,₹2583 per sqft 
,1,VTP Blue Waters,421 sqft,Unfurnished,1,₹47.3 Lac ,₹8000 per sqft 
,,,345 sqft,Furnished,1,₹34 Lac ,₹8831 per sqft 
,2,7th Heaven,729 sqft,Unfurnished,2,₹55.5 Lac ,₹6051 per sqft 
,2,Jai Ganesh Samarajya,690 sqft,Unfurnished,1,₹55 Lac ,₹8221 per sqft 
,2,Madhuban Society,850 sqft,Furnished,2,₹67 Lac ,₹6537 per sqft 
,2,Westend Village,756 sqft,Furnished,2,₹1.17 Cr ,₹15294 per sqft 
,1,Dreams Aakruti,448 sqft,Furnished,1,₹35 Lac ,₹7675 per sqft 
,2,Daffodils Avenue,,Unfurnished,2,₹42 Lac ,₹4565 per sqft 
,1,Xrbia Smart City Talegaon Ambi,,Unfurnished,1,₹15.5 Lac ,₹7500 per sqft 
,3,Godrej Woodsville,876 sqft,Unfurnished,3,₹92 Lac ,₹10483 per sqft 
,2,Oxy Galaxy,662 sqft,Semi-Furnished,2,₹33.7 Lac ,₹3862 per sqft 
,2,Oxy Galaxy,,Unfurnished,2,₹45 Lac ,₹6198 per sqft 
,2,Mantra Montana,782 sqft,Unfurnished,2,₹62.6 Lac ,₹6800 per sqft 
,2,Sommet,700 sqft,Unfurnished,2,₹78 Lac ,
,3,Bramha Emerald County,1250 sqft,Unfurnished,3,₹1 Cr ,₹6309 per sqft 
,1,,450 sqft,Unfurnished,1,₹42 Lac ,₹8705 per sqft 
,2,Yashada Splendid Lakeview,747 sqft,Furnished,2,₹1.10 Cr ,
,1,,,Semi-Furnished,1,₹34 Lac ,₹4928 per sqft 
,2,,,Unfurnished,2,₹1.10 Cr ,₹12862 per sqft 
,1,,,Unfurnished,1,₹25 Lac ,₹4545 per sqft 
,3,,,Semi-Furnished,3,₹80 Lac ,₹7111 per sqft 
,2,,,,2,₹1.15 Cr ,₹8846 per sqft 
,1,,,Furnished,1,₹65 Lac ,₹10484 per sqft 
,1,,,Semi-Furnished,1,₹29.4 Lac ,₹4923 per sqft 
,1,,,Unfurnished,1,₹35 Lac ,₹5247 per sqft 
,1,,,Unfurnished,1,₹25 Lac ,₹7143 per sqft 
,2,,,Unfurnished,3,₹1.50 Cr ,₹14824 per sqft 
,2,,,Unfurnished,2,₹30 Lac ,₹3614 per sqft 
,2,,,,2,₹60 Lac ,₹6000 per sqft 
,1,,,Unfurnished,1,₹34 Lac ,₹6942 per sqft 
,1,,,Unfurnished,1,₹35 Lac ,₹7393 per sqft 
,1,,,Unfurnished,1,₹20 Lac ,₹3077 per sqft 
,2,,,Unfurnished,2,₹54 Lac ,₹8060 per sqft 
,1,,,,1,₹38 Lac ,₹8444 per sqft 
,2,,,Semi-Furnished,2,₹36 Lac ,₹3692 per sqft 
,1,,,Semi-Furnished,1,₹33 Lac ,₹5000 per sqft 
,2,,,Unfurnished,2,₹59.2 Lac ,₹6190 per sqft 
,2,Vishhram Daffodils,948 sqft,Semi-Furnished,2,₹36.5 Lac ,
,3,Pride Valencia,,Furnished,3,₹1.69 Cr ,₹9484 per sqft 
,1,Aishwaryam Hamara,375 sqft,Unfurnished,1,₹26.5 Lac ,₹5000 per sqft 
,2,,757 sqft,Unfurnished,2,₹38 Lac ,
,4,,,Semi-Furnished,5,₹4.75 Cr ,₹10556 per sqft 
,4,Kasturi Epitome,1950 sqft,Semi-Furnished,4,₹2.60 Cr ,₹11667 per sqft 
,3,Supreme Pallacio,2000 sqft,Unfurnished,4,₹2.43 Cr ,₹10672 per sqft 
,2,Garden Grove,700 sqft,Unfurnished,2,₹64.9 Lac ,₹6900 per sqft 
,2,Wonder Futura Phase II,840 sqft,Semi-Furnished,2,₹74.4 Lac ,₹8000 per sqft 
,1,Laxmi Heritage,,Unfurnished,1,₹30.4 Lac ,₹4839 per sqft 
,1,Rajnigandha,450 sqft,Furnished,1,₹37.8 Lac ,₹7500 per sqft 
,2,Percept Bounty,715 sqft,Semi-Furnished,2,₹55 Lac ,₹5946 per sqft 
,2,Lushlife Impero,650 sqft,Unfurnished,2,₹40.5 Lac ,
,4,Marvel Ritz,,Unfurnished,5,₹3.06 Cr ,₹8497 per sqft 
,1,Govindbaug,419 sqft,Semi-Furnished,1,₹28.5 Lac ,₹5182 per sqft 
,2,,711 sqft,Unfurnished,2,₹59.5 Lac ,₹7117 per sqft 
,2,Mohan Nagar CHS,744 sqft,Unfurnished,2,₹80 Lac ,₹8264 per sqft 
,2,,875 sqft,Semi-Furnished,2,₹68 Lac ,₹6182 per sqft 
,1,,450 sqft,Unfurnished,1,₹25 Lac ,₹4386 per sqft 
,1,SLK HOME,340 sqft,Unfurnished,1,₹36.4 Lac ,₹8333 per sqft 
,2,Shree Dhareshwar Angan,650 sqft,Unfurnished,2,₹41 Lac ,₹4457 per sqft 
,3,Wonder Futura,830 sqft,Unfurnished,2,₹83.7 Lac ,₹8333 per sqft 
,2,,636 sqft,Unfurnished,2,₹45 Lac ,₹5137 per sqft 
,1,Daya Apartment,386 sqft,Semi-Furnished,1,₹21 Lac ,₹4828 per sqft 
,1,Suman Park,450 sqft,Unfurnished,1,₹18.5 Lac ,₹3136 per sqft 
,2,Bhandari Nea Pure Homes,600 sqft,Semi-Furnished,2,₹58 Lac ,₹6824 per sqft 
,2,Kingston Elysia,800 sqft,Unfurnished,2,₹38 Lac ,₹4190 per sqft 
,2,Mantri Market,,Semi-Furnished,2,₹67.8 Lac ,₹6011 per sqft 
,2,Mantra Moments,647 sqft,Semi-Furnished,2,₹48 Lac ,₹4959 per sqft 
,3,Xrbia Riverfront,660 sqft,Semi-Furnished,2,₹28 Lac ,₹3252 per sqft 
,1,,530 sqft,Semi-Furnished,1,₹38 Lac ,₹6909 per sqft 
,3,Dynamic Grandeur,1200 sqft,Unfurnished,3,₹85 Lac ,₹6538 per sqft 
,3,Ashoka Mews,1563 sqft,Unfurnished,4,₹96.5 Lac ,₹5803 per sqft 
,2,Siddhant Saptarang,780 sqft,Unfurnished,2,₹43.9 Lac ,₹5165 per sqft 
,1,Vikaskaran Sunrise Villa,395 sqft,Unfurnished,1,₹42 Lac ,₹6885 per sqft 
,2,Wadhwani Sai Paradise,686 sqft,Furnished,2,₹69.6 Lac ,₹7789 per sqft 
,1,ARS Angan Apartment,400 sqft,Furnished,1,₹33 Lac ,₹6111 per sqft 
,2,Yashwin Supernova,750 sqft,Unfurnished,2,₹73.8 Lac ,₹8200 per sqft 
,3,,1130 sqft,Semi-Furnished,3,₹1.25 Cr ,₹9058 per sqft 
,2,KJ Pallavi Society,550 sqft,Unfurnished,2,₹1.20 Cr ,₹16000 per sqft 
,1,Nikhil Park,580 sqft,Semi-Furnished,2,₹29.1 Lac ,₹4571 per sqft 
,3,Alcon Royce,1653 sqft,Unfurnished,3,₹1.47 Cr ,₹7619 per sqft 
,1,,459 sqft,Unfurnished,1,₹22 Lac ,₹3936 per sqft 
,2,High Mount Phase 2,1197 sqft,Semi-Furnished,2,₹70 Lac ,₹5691 per sqft 
,1,,500 sqft,Unfurnished,1,₹35 Lac ,₹5469 per sqft 
,1,Twin Arcs,529 sqft,Furnished,1,₹38.2 Lac ,₹6897 per sqft 
,2,Shiva Palace,720 sqft,Unfurnished,2,₹34.6 Lac ,₹3958 per sqft 
,4,Yash Samruddhi Amber,1184 sqft,Semi-Furnished,3,₹1.50 Cr ,₹8446 per sqft 
,1,,470 sqft,Unfurnished,1,₹37 Lac ,₹5827 per sqft 
,1,Elegant Lotus Apartments,600 sqft,Unfurnished,1,₹25 Lac ,₹4167 per sqft 
,2,Ustav,650 sqft,Unfurnished,2,₹44 Lac ,₹5238 per sqft 
,1,,,,1,₹15 Lac ,₹3333 per sqft 
,6,,7200 sqft,Furnished,5,₹13 Cr ,₹11818 per sqft 
,2,Kolte Patil Ivy Estate Umang Pride,684 sqft,Unfurnished,2,₹48 Lac ,₹4974 per sqft 
,2,,765 sqft,Semi-Furnished,2,₹79.9 Lac ,₹8500 per sqft 
,1,,500 sqft,Semi-Furnished,2,₹33 Lac ,₹5500 per sqft 
,2,Jhala Group Simplicity,593 sqft,Furnished,2,₹47.5 Lac ,₹5730 per sqft 
,3,,,Semi-Furnished,3,₹42 Lac ,₹3000 per sqft 
,1,D.S.GiriVihar,550 sqft,Unfurnished,1,₹42 Lac ,₹6364 per sqft 
,3,Shri Labsons Shree Samarth Krupa,1250 sqft,Unfurnished,3,₹90 Lac ,₹5455 per sqft 
,3,Life Park,1280 sqft,Furnished,3,₹96 Lac ,₹6926 per sqft 
,2,Livogue Lifestyle in Vogue,885 sqft,Unfurnished,2,₹70 Lac ,₹6364 per sqft 
,1,GK Palacio,450 sqft,Semi-Furnished,2,₹38 Lac ,₹6230 per sqft 
,1,Sai Vinayak Residency,,Unfurnished,1,₹36.8 Lac ,₹6154 per sqft 
,2,Dhanashree Aashiyana,800 sqft,Unfurnished,2,₹45.6 Lac ,₹4725 per sqft 
,2,Prachi Residency,,Unfurnished,2,₹80 Lac ,₹9143 per sqft 
,1,Xrbia Chakan,206 sqft,Unfurnished,1,₹12.1 Lac ,₹4333 per sqft 
,3,Pride World City Kingsbury,1037 sqft,Unfurnished,3,₹86.5 Lac ,₹6571 per sqft 
,1,Bhalchandra Nagri,516 sqft,Unfurnished,1,₹42.3 Lac ,₹6589 per sqft 
,2,Puneville,712 sqft,Unfurnished,2,₹60 Lac ,₹6000 per sqft 
,2,Soba Optima,920 sqft,Semi-Furnished,2,₹90.2 Lac ,₹8247 per sqft 
,3,Chaitraban Residency,781 sqft,Furnished,2,₹1.50 Cr ,₹15228 per sqft 
,1,Ek Shanti Park,500 sqft,Unfurnished,1,₹33 Lac ,₹4803 per sqft 
,3,,986 sqft,Unfurnished,3,₹80 Lac ,₹6667 per sqft 
,2,Divine Dew,736 sqft,Furnished,2,₹77 Lac ,₹8652 per sqft 
,1,Mangal Prabha,400 sqft,Unfurnished,1,₹40 Lac ,₹6061 per sqft 
,2,,750 sqft,Unfurnished,2,₹60 Lac ,₹7500 per sqft 
,2,Address One,462 sqft,Unfurnished,2,₹43 Lac ,₹7338 per sqft 
,1,Mangal Vatika,600 sqft,Unfurnished,1,₹27.6 Lac ,₹4491 per sqft 
,1,Spring Valley,530 sqft,Unfurnished,1,₹37.5 Lac ,₹5327 per sqft 
,3,Vishal Memories,1450 sqft,Unfurnished,2,₹1 Cr ,₹6111 per sqft 
,1,Commanders AayushPark,,Unfurnished,2,₹16.5 Lac ,₹2995 per sqft 
,1,Aditya Durgade Heights,400 sqft,Unfurnished,1,₹27 Lac ,₹5294 per sqft 
,1,Deshmukh Height,516 sqft,Unfurnished,1,₹24 Lac ,₹3840 per sqft 
,1,Pride World City Long Island,449 sqft,Unfurnished,1,₹41.5 Lac ,₹6006 per sqft 
,1,GK Palacio,516 sqft,Unfurnished,2,₹32.6 Lac ,₹5564 per sqft 
,1,Vanshaj Prestige,520 sqft,Semi-Furnished,1,₹60 Lac ,₹9677 per sqft 
,1,,620 sqft,Unfurnished,2,₹27.1 Lac ,₹4155 per sqft 
,3,Godrej Infinity,1240 sqft,Semi-Furnished,3,₹1.61 Cr ,₹10062 per sqft 
,4,West View Apartments,2900 sqft,Semi-Furnished,4,₹3.50 Cr ,₹10938 per sqft 
,2,Sara City,836 sqft,Unfurnished,2,₹32 Lac ,₹3213 per sqft 
,4,,1368 sqft,Semi-Furnished,3,₹1.70 Cr ,₹9204 per sqft 
,4,Nyati Wind Chimes,2600 sqft,Unfurnished,5,₹2.62 Cr ,₹8182 per sqft 
,3,Majestique Marbella,1064 sqft,Unfurnished,3,₹1.31 Cr ,₹8618 per sqft 
,1,The Wave,496 sqft,Semi-Furnished,1,₹50 Lac ,₹8264 per sqft 
,2,Park Royal,1000 sqft,Unfurnished,2,₹1.01 Cr ,₹7710 per sqft 
,1,Lunkad Shivpuram,510 sqft,Unfurnished,1,₹32 Lac ,₹4908 per sqft 
,2,Crystal,,Unfurnished,2,₹44.2 Lac ,₹4800 per sqft 
,3,Majestique Signature Towers,,Unfurnished,3,₹1.70 Cr ,₹11562 per sqft 
,2,,,Unfurnished,2,₹25.5 Lac ,₹3077 per sqft 
,1,Aditya Plaza,630 sqft,Unfurnished,1,₹23 Lac ,
,2,Sai Silicon Valley,715 sqft,Unfurnished,2,₹68.8 Lac ,₹8625 per sqft 
,1,,,Unfurnished,1,₹30 Lac ,₹4615 per sqft 
,2,Tanish Icon,,Unfurnished,2,₹63 Lac ,₹8917 per sqft 
,1,Hermes Heritage,,Unfurnished,2,₹56.4 Lac ,₹9231 per sqft 
,2,,,Unfurnished,2,₹47 Lac ,₹6944 per sqft 
,2,VTP Blue Waters,851 sqft,Unfurnished,2,₹73.6 Lac ,₹8000 per sqft 
,1,Kamal Green Leaf,,Unfurnished,1,₹25 Lac ,₹4537 per sqft 
,2,,925 sqft,Semi-Furnished,2,₹50 Lac ,₹5263 per sqft 
,1,Shree Swami Sanidhya,,Unfurnished,2,₹36.8 Lac ,₹6667 per sqft 
,3,Sobha Ivory,1030 sqft,Furnished,3,₹1.30 Cr ,₹8850 per sqft 
,3,Eisha Empire,1050 sqft,Furnished,2,₹75 Lac ,₹6527 per sqft 
,3,Kolte Patil Life Republic,1300 sqft,Unfurnished,3,₹97 Lac ,₹6062 per sqft 
,1,DMK Stella,500 sqft,Unfurnished,2,₹36 Lac ,₹6294 per sqft 
,2,,900 sqft,Semi-Furnished,2,₹95 Lac ,₹8482 per sqft 
,2,Alfa Homes Phase 2,,Unfurnished,2,₹65 Lac ,₹6893 per sqft 
,1,Oxy Valley II,540 sqft,Semi-Furnished,2,₹30 Lac ,₹4800 per sqft 
,2,Umang Homes & Primo Appartments,767 sqft,Semi-Furnished,2,₹60 Lac ,₹6000 per sqft 
,2,Kumar Piccadilly,,Unfurnished,2,₹93 Lac ,₹8571 per sqft 
,2,The Nook,710 sqft,Semi-Furnished,2,₹70 Lac ,₹7609 per sqft 
,1,Xrbia Abode,280 sqft,Unfurnished,1,₹12 Lac ,₹3399 per sqft 
,,,1804 sqft,Unfurnished,1,₹26 Lac ,₹10833 per sqft 
,2,Highmont Phase 1,675 sqft,Semi-Furnished,2,₹72.8 Lac ,₹8097 per sqft 
,2,,650 sqft,Unfurnished,1,₹50 Lac ,₹6667 per sqft 
,1,Akshay Park,475 sqft,Semi-Furnished,1,₹33.7 Lac ,₹6655 per sqft 
,3,Metropark County,1001 sqft,Unfurnished,3,₹1.29 Cr ,₹10221 per sqft 
,3,Rohan Leher,,Unfurnished,3,₹1.65 Cr ,₹9706 per sqft 
,2,Joyville Hinjawadi,715 sqft,Unfurnished,2,₹72.7 Lac ,₹8778 per sqft 
,2,Mont Vert Vesta,900 sqft,Furnished,2,₹41 Lac ,
,2,,,Semi-Furnished,2,₹55.2 Lac ,₹6936 per sqft 
,3,Nancy Lake Homes,1460 sqft,Unfurnished,3,₹1.25 Cr ,₹8013 per sqft 
,3,Vascon Willows,,Semi-Furnished,3,₹1.90 Cr ,₹10215 per sqft 
,1,Godrej Hillside,,Unfurnished,1,₹49.3 Lac ,₹11447 per sqft 
,2,Astoria Royals,,Unfurnished,2,₹68 Lac ,₹7113 per sqft 
,1,,,Semi-Furnished,1,₹26 Lac ,₹6842 per sqft 
,1,NK Shambhavi Classic,510 sqft,Unfurnished,1,₹37 Lac ,
,2,,,Unfurnished,2,₹45 Lac ,₹4500 per sqft 
,1,,,,1,₹52 Lac ,₹7172 per sqft 
,2,,,Unfurnished,1,₹64.4 Lac ,₹13752 per sqft 
,1,,,Unfurnished,1,₹20.9 Lac ,₹3594 per sqft 
,2,,,,2,₹56 Lac ,₹9333 per sqft 
,1,,,Semi-Furnished,1,₹21.5 Lac ,₹3536 per sqft 
,1,Vardayini Society,,Unfurnished,1,₹45 Lac ,₹7895 per sqft 
,1,DSK Kunjaban,636 sqft,Unfurnished,1,₹40 Lac ,₹5263 per sqft 
,2,Swarajya Maitreya,780 sqft,Unfurnished,2,₹94 Lac ,₹8927 per sqft 
,3,NGK Suvarna Nagari,907 sqft,Semi-Furnished,2,₹55.2 Lac ,₹4902 per sqft 
,3,Vascon Viola,,Furnished,3,₹1.76 Cr ,₹10052 per sqft 
,2,R K Lunkad Nisarg Phase I,772 sqft,Furnished,2,₹53.1 Lac ,₹6941 per sqft 
,2,Daffodils,690 sqft,Semi-Furnished,2,₹86.5 Lac ,₹10486 per sqft 
,2,K Ville,696 sqft,Unfurnished,2,₹60 Lac ,₹7500 per sqft 
,3,Sonchafa,950 sqft,Unfurnished,3,₹83 Lac ,₹7306 per sqft 
,2,GK Allure,778 sqft,Semi-Furnished,2,₹90 Lac ,₹8531 per sqft 
,1,Icon Residency,490 sqft,Unfurnished,2,₹23 Lac ,₹4035 per sqft 
,2,Raheja Woods,1200 sqft,Unfurnished,2,₹1.35 Cr ,₹10150 per sqft 
,4,Kasturi Epitome,1935 sqft,Unfurnished,5,₹2.96 Cr ,₹12214 per sqft 
,3,Riverdale Grand,1065 sqft,Semi-Furnished,3,₹1.43 Cr ,₹9394 per sqft 
,3,Rose Gardenia,1065 sqft,Unfurnished,3,₹78 Lac ,
